result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,result_description
63374,"Marathon, Men",1988 Summer Olympics,22,Athletics,/editions/22/sports/ATH, 2 October 1988 — 14:35,"Ol-lim-pik Ju-gyeong-gi-jang, Seoul Sports Complex, Seoul",118 from 66 countries,"42,195 metres (26 miles, 385 yards) out-and-back.",na,"By 1988, the great African distance runners were beginning to set their sights on the marathon distance. Between 1984 and 1988 Djibouti, which previously had no athletics history, developed several leading marathon talents, led by Ahmed Salah. Two non-Africans also impressed, with Australia’s Rob de Castella winning Boston in 1986 in 2-07:51, and the Commonwealth Games gold medal that same year. Italy’s Gelindo Bordin won the gold medal at the 1986 European Championships.
The race started quite early, 2:30 PM, beneath a warm sun. The course started and finished at the Olympic Stadium, and looped out-and-back along the Han-Gang River. The weather led to a slow pace and at 25 km. the lead pack still had 13 runners. By 30 km. a group of six separated themselves and would contest the medals. Bordin and Salah were in this group, but de Castella had been distanced. At 40 km. Salah led, followed by Kenya’s Douglas Wakiihuri, and then Bordin. But over the next kilometer, run downhill, Bordin passed Wakiihuri and Salah and held on to win the gold medal, with Wakiihuri getting silver, and Salah bronze. The margin of 15 seconds was the smallest in an Olympic marathon since 1920.
"
926196,"Long Jump - Anthropological Days (Pueblo), Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,12 – 13 August 1904,"Francis Field, Washington University, St. Louis",1 from 1 countries,na,na,na
154738,"Team Pursuit, 4,000 metres, Men",1992 Summer Olympics,23,Cycling Track,/editions/23/sports/CTR,30 – 31 July 1992,"Velódromo de Horta, Barcelona",85 from 20 countries,na,na,"East and West Germany had been two of the top teams in this event since the mid-1970s. As a combined German team, they brought almost unbeatable firepower to the team pursuit. But Australia led the qualifying with a world record time of 4:11.245, over 3½ seconds faster than the Germans. Germany lowered that in the third quarter-final, overtaking New Zealand in 4:10.980, but Australia answered that in the final quarter-final, recording 4:10.438 as they overtook Czechoslovakia. Germany scared the mark in the first semi-final, defeating Denmark with a time of 4:10.446. Australia won the second semi to set up a dream final. In that match both teams bettered the record. But Germany broke out to an early lead and Australia could never make up the deficit, Germany winning the gold medal, 4:08.791 to 4:10.218. There was no bronze medal race. Denmark was awarded the bronze based on being the fastest losing semi-finalist.
"
1342,"Downhill, Men1",1984 Winter Olympics,42,Alpine Skiing,/editions/42/sports/ALP,16 February 1984 — 12:00,Bjelašnica (Olympia),61 from 25 countries,na,SUI,"No American had ever won the men’s downhill at the Olympics. In fact, they had never won an Olympic medal in the event, and their only major international win had come in 1959 when Buddy Werner triumphed on the Hahnenkamm. A few weeks before Sarajevo there was nothing to suggest this would change, until Bill Johnson won the Lauberhorn in Wengen, Switzerland. Known as a good glider, but not so good on a difficult course with lots of turns, the Sarajevo downhill set up perfectly for him.
The race had difficulty starting as it was postponed three times and seven days because of heavy snows. After Johnson had several of the best training runs, he was a slight favorite, and starting in sixth position, he posted the best time which held up for the gold medal. Asked later what this meant to him, he responded, “Millions!” Johnson would win two more World Cup downhills in 1984, at Aspen and Whistler in March, but never again won a major race after 1984. His victory was derided by the European skiers, who claimed he only won because the course was easy, to which Johnson asked, “If it was so easy, why didn’t they win it?” Johnson was a cocky, controversial character who had a very short period in the skiing limelight. He attempted a comeback for the 2002 Winter Olympics, but crashed during the US Championships in 2001 and sustained significant brain damage, spending several weeks in a coma. He never fully recovered and requires constant day-to-day care.
"
66518,"4 x 400 metres Relay, Women",2004 Summer Olympics,26,Athletics,/editions/26/sports/ATH,27 – 28 August 2004,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",71 from 16 countries,na,na,"The last three World Championships had been won by Russia (1999), Jamaica (2001), and the United States (2003). And the three dominant nations remained so in Athina. In the final the United States opened a big lead when DeeDee Trotter ran 49.8 on the opener. Given that lead the US was never headed, with all four US runners breaking 50 seconds, the lead increasing to the anchor leg, on which Monique Hennagan eased slightly to win by 10 metres. Russia ran second throughout the race, with their anchor, Nataliya Antyukh, running the fastest leg of the race, 49.43. Jamaica was well clear of Great Britain for the bronze medal.
In 2010 Crystal Cox, of the gold-medal winning USA team, admitting to doping with anabolic steroids. She was given a four-year suspension and disqualification of her results from 2001-04, including the Olympics and her gold medal. Cox ran only in the heats in Athina. However, in 2013 the IOC and IAAF (later World Athletics) ruled that the USA would keep their gold medal overall and the other runners would keep the gold medal.
"
19020356,"Team, Men",2022 Winter Olympics,62,Nordic Combined,/editions/62/sports/NCB,17 February 2022,"Zhangjiakou Nordic Centre and Biathlon Centre, Chongli District, Zhangjiakou City, Hebei Province / Zhangjiakou National Ski Jumping Centre, Zhangjiakou City, Hebei Province",40 from 10 countries,na,na,na
58849,"200 metres, Men",1952 Summer Olympics,13,Athletics,/editions/13/sports/ATH,22 – 23 July 1952,"Helsingin Olympiastadion, Helsinki",71 from 35 countries,na,na,"The heavy favorite in this race was Andy Stanfield and he dominated the event. Stanfield had set the first IAAF-recognized world recognized for 200 and 220 yards around a turn with 20.6 for each distance in 1951 and 1952, and had won three AAU titles at this distance. He was fastest in the heats and ran 20.9 in the quarter-finals. In the final he led early, despite an injured thigh, and held on to win over Thane Baker, with Jim Gathers completing a US medal sweep.
"
33500,"Football, Men",1900 Summer Olympics,2,Football,/editions/2/sports/FBL,20 – 23 September 1900,"Vélodrome Municipal de Vincennes, Paris",35 from 3 countries,Single-elimination tournament.,na,"The British team, representing Upton Park Football Club, were easily the best of the three teams which competed in 1900 in Paris. They defeated the French team quite handily, 4-0, and did not play again. In that match they played a 2-3-5 formation and were led by J. Nicholas, who scored two goals in the first half and then retired with a sprained ankle. An Upton Park FC was founded in 1866 and was one of the 15 teams to play in the first FA Cup in 1871-72. The original club folded in 1887, but in 1891 a local club, Belmont FC, adopted the Upton Park name.
The French team titularly represented the Union des Sociétés Françaises de Sports Athlétiques (USFSA), but that was really just an administrative group governing several sports, and the team members appear to have come from various clubs. France defeated Belgium easily, by 6-2. The Belgium team is listed in many sources as representing the University of Brussels, but the University Archivist denies this and, in fact, the Belgian footballers also represented many different clubs, as well as the Universities of Liège, Louvain, and Brussels. Matches between the French squad and German and Swiss teams did not take place as those nations did not send squads to Paris.
"
5157,"1,500 metres Freestyle, Men",1948 Summer Olympics,12,Swimming,/editions/12/sports/SWM,5 –  7 August 1948,"Wembley Arena, Wembley, London",39 from 21 countries,na,na,"In 1938 Japan’s Tomikatsu Amano had become the first man to break nineteen minutes for the 1500m and his example had been matched by a younger generation of Japanese swimmers but, since Japan was not invited to the 1948 Olympics, the mantle of favourite for this event fell on France’s Alex Jany. The Frenchman performed poorly in his other events and, after the British food had proved too much for his stomach, was too ill to compete in the 1500m. This left the way clear for the seventeen year old American schoolboy, James McLane, and the previously unconsidered Australian John Marshall  to battle for the gold. McLane started well and maintained a lead for the first thousand metres. With 500m to go Marshall made his challenge and the two men swam stroke for stroke for the next two lengths of the pool. The Australian’s challenge faded and more technically gifted McLane swam away to become the first American to win the event since Antwerp.
"
50270,"Individual, Men",2000 Summer Olympics,25,Modern Pentathlon,/editions/25/sports/MPN,30 September 2000,"Sydney Baseball Stadium, Olympic Park, Sydney, New South Wales / Sydney International Aquatic Centre, Olympic Park, Sydney, New South Wales / The Dome and Exhibition Complex, Olympic Park, Sydney, New South Wales",24 from 19 countries,Scoring by point tables.,na,"Dmitry Svatkovsky had been the favorite in 1996 after winning the 1994-95 World Championships. He was second at the 1997 Worlds and third in 1999, but the favorites in 2000 were France’s Sébastien Deleigne, the 1997-98 World Champion, and Hungary’s Gábor Balogh, the 1999 World Champion. France’s Olivier Clergeau took the early lead, and led after the second and fourth phases, tied going into the run with Velizar Iliev, the Bulgarian-born American. American Chad Senior led after three phases, but struggled with his horse in the riding, as it made refusals three times in the jumping. Deleigne was the best runner but he was in ninth place after four phases, 171 points behind, and although he won the cross-country, he would finish fourth overall. Clergeau was not a good runner and would eventually finish eighth. Svatkovsky placed fourth in the run and passed everybody, coming from fifth place and 19 seconds behind the leaders, 77 points down, to win the gold medal, with Balogh winning silver.
"
256346,"Kayak Doubles, 1,000 metres, Men",2004 Summer Olympics,26,Canoe Sprint,/editions/26/sports/CSP,23 – 27 August 2004,"Olympiako Kopelatodramio Skhoinia, Schinias National Park",32 from 16 countries,na,na,"Sweden’s Henrik Nilsson and Markus Oscarsson, the 2000 Olympic runners-up, had won the K-2 1000 at the last two editions of the World Championships, as well as the 2002 European Championships, and were the favorites in the event at the 2004 Games. Norway’s Eirik Verås Larsen  and Nils Olav Fjeldheim were also a strong duo, having won the 2001 and 2004 European and 2001 World Championships and taken silver and bronze at the 2002 Worlds and Europeans respectively. Italy’s Antonio Rossi and Beniamino Bonomi were the defending Olympic champions, but had not medalled at a major international event since. Sweden and Norway won their opening heats, with the latter posting a slightly faster time, and qualified directly for the final, while Italy was sixth in Sweden’s heat and qualified for the final only by placing second in the semi-finals, behind Belgium’s Wouter D’Haene and Bob Maesen, the 2003 World runners-up. Sweden took command in the final and won gold with by over a second ahead of its nearest competitor. Italy, meanwhile, had to fend off Norway in order to take silver, which it did by a margin of only 0.044 seconds. Norway had slightly more breathing room, 0.428 seconds, over Australia’s David Rhodes and Danny Collins, the latter of whom was a bronze and silver medalist in the K-2 500 at the 1996 and 2000 Olympics respectively. Larsen thus added bronze to the gold medal he had won in the K-1 1000 earlier in the day.
"
