edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1912 Summer Olympics,6,1912,Netherlands,NED,0,0,3,3
1912 Summer Olympics,6,1912,Austria,AUT,0,2,2,4
1912 Summer Olympics,6,1912,United States,USA,26,19,19,64
1912 Summer Olympics,6,1912,Sweden,SWE,23,25,17,65
1912 Summer Olympics,6,1912,Great Britain,GBR,10,15,16,41
1912 Summer Olympics,6,1912,Finland,FIN,9,8,9,26
1912 Summer Olympics,6,1912,France,FRA,7,5,3,15
1912 Summer Olympics,6,1912,Germany,GER,6,13,7,26
1912 Summer Olympics,6,1912,Italy,ITA,5,1,2,8
1912 Summer Olympics,6,1912,South Africa,RSA,4,2,0,6
1912 Summer Olympics,6,1912,Norway,NOR,3,2,5,10
1912 Summer Olympics,6,1912,Canada,CAN,3,2,3,8
1912 Summer Olympics,6,1912,Hungary,HUN,3,2,3,8
1912 Summer Olympics,6,1912,Australasia,ANZ,2,2,3,7
1912 Summer Olympics,6,1912,Belgium,BEL,2,1,3,6
1912 Summer Olympics,6,1912,Denmark,DEN,1,6,5,12
1912 Summer Olympics,6,1912,Greece,GRE,1,0,1,2
1912 Summer Olympics,6,1912,Switzerland,SUI,1,0,0,1
1912 Summer Olympics,6,1912,Russian Federation,RUS,0,2,3,5
